epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
68,119.155,1.22789,0.15967,0.45312,0.5898,0.02358,6.14305,0.9193,0.93004,0.95525,0.58489,0.9193,0.93004,0.94601,0.93431,1.39632,0.17303,0.11266,0.48685,0.02856,0,0.0005578,0.0005578,0.0005578
69,120.876,1.38339,0.15042,0.44322,0.63427,0.02639,5.59004,0.91821,0.9165,0.95546,0.55057,0.91821,0.9165,0.94566,0.94191,1.51498,0.13396,0.11167,0.51141,0.03061,0,0.0005512,0.0005512,0.0005512
70,122.593,1.21448,0.08432,0.40074,0.53155,0.02371,5.60078,0.90643,0.89796,0.95249,0.50171,0.90643,0.89796,0.94579,0.94166,1.61397,0.1293,0.10823,0.55908,0.0323,0,0.0005446,0.0005446,0.0005446
71,124.302,1.27464,0.15383,0.46275,0.56682,0.02436,6.12818,0.91942,0.93152,0.9549,0.4762,0.91942,0.93152,0.94609,0.94519,1.66976,0.11726,0.11685,0.56279,0.03187,0,0.000538,0.000538,0.000538
72,126.015,1.28948,0.14953,0.40976,0.55118,0.02533,6.24201,0.89951,0.9135,0.9489,0.48866,0.89951,0.9135,0.93893,0.93463,1.71111,0.1118,0.12897,0.56586,0.03236,0,0.0005314,0.0005314,0.0005314
73,127.718,1.33899,0.10413,0.42776,0.48998,0.0256,5.61216,0.85117,0.95918,0.94525,0.44104,0.85117,0.95918,0.93645,0.93228,1.82333,0.11506,0.1179,0.59565,0.03652,0,0.0005248,0.0005248,0.0005248
74,129.406,1.26112,0.12225,0.41075,0.43587,0.02401,5.80415,0.93703,0.91121,0.97029,0.4615,0.93703,0.91121,0.96029,0.95744,1.81907,0.11682,0.11864,0.56265,0.03706,0,0.0005182,0.0005182,0.0005182
75,131.128,1.18776,0.13504,0.41076,0.50066,0.02285,5.98978,0.90382,0.95918,0.95163,0.48969,0.90382,0.95918,0.94749,0.94271,1.67612,0.11667,0.12571,0.52876,0.03374,0,0.0005116,0.0005116,0.0005116
76,132.837,1.20379,0.13492,0.39234,0.4773,0.02397,5.41101,0.91938,0.95918,0.94698,0.5541,0.91938,0.95918,0.95018,0.94674,1.49176,0.12839,0.12827,0.48007,0.02966,0,0.000505,0.000505,0.000505
77,134.552,1.25852,0.12204,0.46943,0.58147,0.02389,5.70147,0.91979,0.93616,0.95114,0.57528,0.91979,0.93616,0.944,0.93702,1.42377,0.13699,0.12485,0.48083,0.0285,0,0.0004984,0.0004984,0.0004984
78,136.274,1.26215,0.11706,0.46477,0.54939,0.0251,5.38093,0.86852,0.97959,0.9392,0.54906,0.86852,0.97959,0.93953,0.92909,1.44324,0.13615,0.12303,0.49769,0.02913,0,0.0004918,0.0004918,0.0004918
79,137.976,1.2143,0.14556,0.44528,0.55624,0.02265,5.211,0.88881,0.97886,0.95431,0.57912,0.88881,0.97886,0.94278,0.93197,1.39315,0.12403,0.12888,0.46935,0.02716,0,0.0004852,0.0004852,0.0004852
80,139.676,1.18391,0.07112,0.42578,0.51328,0.02413,4.77135,0.9191,0.93878,0.95964,0.58291,0.9191,0.93878,0.95964,0.93903,1.381,0.11915,0.14399,0.45517,0.02552,0,0.0004786,0.0004786,0.0004786
81,141.397,1.12143,0.06853,0.43955,0.42204,0.02107,4.75424,0.88641,0.97959,0.95118,0.53382,0.88641,0.97959,0.95118,0.93484,1.5059,0.10409,0.14578,0.48418,0.02849,0,0.000472,0.000472,0.000472
82,143.1,1.23375,0.09211,0.52512,0.48127,0.02381,5.04297,0.9009,0.97959,0.95521,0.50989,0.9009,0.97959,0.95521,0.94071,1.57931,0.09785,0.14042,0.48748,0.0304,0,0.0004654,0.0004654,0.0004654
83,144.798,1.22417,0.11705,0.43923,0.53189,0.02189,4.81975,0.91937,0.97959,0.95956,0.51285,0.91937,0.97959,0.95956,0.94571,1.56754,0.09456,0.14001,0.48046,0.02963,0,0.0004588,0.0004588,0.0004588
84,146.526,1.13662,0.09867,0.51963,0.48631,0.02192,4.9051,0.90222,0.97959,0.95844,0.54874,0.90222,0.97959,0.95844,0.9482,1.47509,0.09251,0.14249,0.468,0.02722,0,0.0004522,0.0004522,0.0004522
85,148.237,1.17511,0.09773,0.44984,0.56997,0.02165,4.63936,0.92572,0.93878,0.9578,0.54641,0.92572,0.93878,0.95853,0.94858,1.45882,0.07467,0.12996,0.46631,0.02745,0,0.0004456,0.0004456,0.0004456
86,149.935,1.28004,0.15987,0.46726,0.56513,0.02448,4.97529,0.90445,0.93878,0.9549,0.55685,0.90445,0.93878,0.95639,0.94468,1.4456,0.06978,0.12621,0.47103,0.02764,0,0.000439,0.000439,0.000439
87,151.661,1.18448,0.09365,0.39923,0.44407,0.02563,4.92445,0.91895,0.93878,0.95195,0.57667,0.91895,0.93878,0.95195,0.9443,1.36512,0.06926,0.12997,0.44966,0.02601,0,0.0004324,0.0004324,0.0004324
88,153.365,1.19684,0.19,0.41445,0.50977,0.02422,5.4795,0.87468,0.95918,0.94615,0.60575,0.87468,0.95918,0.94678,0.9363,1.3074,0.06951,0.13799,0.45942,0.02435,0,0.0004258,0.0004258,0.0004258
89,155.07,1.12892,0.0829,0.39063,0.45382,0.0225,5.19247,0.88502,0.97959,0.94967,0.58146,0.88502,0.97959,0.94967,0.94004,1.35986,0.06819,0.13819,0.45603,0.0256,0,0.0004192,0.0004192,0.0004192
90,156.801,1.19359,0.10137,0.43858,0.45056,0.02326,4.71994,0.88609,0.97959,0.947,0.5562,0.88609,0.97959,0.96085,0.94488,1.43674,0.06713,0.13293,0.46651,0.02735,0,0.0004126,0.0004126,0.0004126
91,158.514,1.13203,0.0531,0.45858,0.49043,0.02102,4.28991,0.89865,0.97959,0.95581,0.49342,0.89865,0.97959,0.95581,0.94327,1.61085,0.07369,0.12449,0.50764,0.03141,0,0.000406,0.000406,0.000406
92,160.21,1.26573,0.10554,0.43749,0.61502,0.02388,4.72181,0.90717,0.95918,0.95408,0.48131,0.9183,0.95918,0.95777,0.94545,1.65045,0.08264,0.12007,0.53213,0.0321,0,0.0003994,0.0003994,0.0003994
93,161.915,1.24269,0.10629,0.34895,0.51454,0.02428,4.89366,0.93489,0.93878,0.95165,0.50338,0.93489,0.93878,0.95641,0.94288,1.57635,0.08216,0.12835,0.50819,0.02946,0,0.0003928,0.0003928,0.0003928
94,163.608,1.35654,0.11501,0.43835,0.58335,0.02526,5.32538,0.88877,0.97844,0.94673,0.52918,0.88877,0.97844,0.94868,0.93686,1.54487,0.08052,0.13036,0.5061,0.0286,0,0.0003862,0.0003862,0.0003862
95,165.327,1.20062,0.16472,0.49099,0.63385,0.02338,5.20942,0.8885,0.97582,0.94838,0.56357,0.8885,0.97582,0.95231,0.94421,1.42501,0.08684,0.13522,0.48866,0.02583,0,0.0003796,0.0003796,0.0003796
96,167.104,1.21069,0.07884,0.42305,0.49201,0.02377,5.38642,0.88661,0.95745,0.94396,0.57773,0.88661,0.95745,0.94396,0.93443,1.37626,0.08785,0.14031,0.47354,0.02496,0,0.000373,0.000373,0.000373
97,168.806,1.31731,0.10481,0.49945,0.501,0.02523,4.90711,0.90133,0.93217,0.9455,0.5856,0.90133,0.93217,0.94639,0.93633,1.35133,0.08921,0.13572,0.47699,0.0248,0,0.0003664,0.0003664,0.0003664
98,170.504,1.169,0.14754,0.46252,0.53721,0.02171,4.87675,0.83589,0.95918,0.93867,0.57938,0.89308,0.91837,0.94155,0.93055,1.35074,0.09071,0.13434,0.49622,0.02511,0,0.0003598,0.0003598,0.0003598
99,172.237,1.15817,0.05906,0.44487,0.43073,0.02139,4.26334,0.86967,0.95918,0.94026,0.56426,0.86967,0.95918,0.9296,0.92443,1.38711,0.10054,0.13211,0.517,0.02737,0,0.0003532,0.0003532,0.0003532
100,173.937,1.20737,0.10844,0.45924,0.53936,0.02283,4.28932,0.87025,0.95822,0.94233,0.55497,0.87025,0.95822,0.92852,0.92485,1.4205,0.09913,0.13529,0.52203,0.02928,0,0.0003466,0.0003466,0.0003466
101,175.631,1.16226,0.06459,0.39517,0.43207,0.02268,4.14427,0.83792,0.97959,0.93963,0.54193,0.83792,0.97959,0.93963,0.92453,1.49536,0.09084,0.13215,0.52274,0.03131,0,0.00034,0.00034,0.00034
102,177.493,1.15173,0.1107,0.4266,0.53945,0.02207,4.44211,0.83555,0.97959,0.94025,0.52887,0.83555,0.97959,0.94025,0.92475,1.50892,0.08585,0.13348,0.53784,0.03132,0,0.0003334,0.0003334,0.0003334
103,179.205,1.13573,0.09384,0.43489,0.43968,0.02221,4.89471,0.86752,0.9355,0.93345,0.51046,0.86752,0.9355,0.92002,0.91617,1.52779,0.08701,0.1325,0.56434,0.03086,0,0.0003268,0.0003268,0.0003268
104,180.914,1.17899,0.10309,0.50128,0.56682,0.02196,4.29992,0.89912,0.89796,0.94487,0.5029,0.89912,0.89796,0.93107,0.92696,1.58369,0.09035,0.12879,0.58833,0.03131,0,0.0003202,0.0003202,0.0003202
105,182.643,1.14699,0.08926,0.40533,0.49079,0.02151,4.44448,0.85412,0.95918,0.92088,0.47411,0.85412,0.95918,0.90773,0.90773,1.64113,0.09449,0.12195,0.6824,0.03208,0,0.0003136,0.0003136,0.0003136
106,184.353,1.16609,0.0546,0.41758,0.45547,0.02227,3.99259,0.83607,0.93681,0.92101,0.47155,0.83607,0.93681,0.92101,0.90988,1.64234,0.09373,0.11933,0.70289,0.03188,0,0.000307,0.000307,0.000307
