epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
38,114.194,1.44086,0.27868,0.4425,0.59245,0.03054,8.41227,0.85075,0.97959,0.93917,0.45272,0.85075,0.97959,0.93906,0.91437,1.72382,0.13646,0.10271,0.58172,0.03747,0,0.0007558,0.0007558,0.0007558
39,117.075,1.3342,0.19796,0.45159,0.62518,0.02719,8.11979,0.91148,0.93878,0.93578,0.51316,0.91148,0.93878,0.94836,0.93608,1.518,0.10123,0.10848,0.5144,0.03141,0,0.0007492,0.0007492,0.0007492
40,120.024,1.32549,0.17114,0.45059,0.54756,0.02737,7.93965,0.87237,0.97649,0.95139,0.54693,0.87237,0.97649,0.95491,0.944,1.38943,0.09606,0.12873,0.48372,0.0285,0,0.0007426,0.0007426,0.0007426
41,122.921,1.35882,0.20675,0.36314,0.67361,0.0269,7.71232,0.93793,0.93878,0.97339,0.5216,0.93793,0.93878,0.97445,0.95731,1.45885,0.15328,0.12119,0.47411,0.02933,0,0.000736,0.000736,0.000736
42,125.816,1.25446,0.18554,0.43689,0.62107,0.02505,7.84365,0.90348,0.95527,0.96614,0.48887,0.90348,0.95527,0.96735,0.93654,1.57692,0.18839,0.12281,0.54916,0.03213,0,0.0007294,0.0007294,0.0007294
43,128.704,1.37522,0.18238,0.40013,0.55412,0.02704,7.77481,0.91683,0.93878,0.96887,0.50779,0.93961,0.95263,0.97014,0.93871,1.54813,0.22337,0.15299,0.5527,0.03287,0,0.0007228,0.0007228,0.0007228
44,131.631,1.41959,0.19916,0.44121,0.70028,0.02875,7.97936,0.93072,0.93878,0.9521,0.51064,0.95095,0.95918,0.96233,0.9317,1.42584,0.23743,0.18898,0.45509,0.02884,0,0.0007162,0.0007162,0.0007162
45,134.584,1.41325,0.20551,0.41269,0.59091,0.02948,7.66178,0.90533,0.97585,0.95608,0.51525,0.9183,0.97959,0.96252,0.92729,1.44126,0.22415,0.19962,0.45781,0.02811,0,0.0007096,0.0007096,0.0007096
46,137.7,1.3331,0.23108,0.46339,0.61464,0.02778,7.92078,0.92269,0.97432,0.97008,0.55238,0.93267,0.97959,0.97197,0.93351,1.45247,0.16353,0.18549,0.41972,0.02833,0,0.000703,0.000703,0.000703
47,141.255,1.41549,0.21532,0.46623,0.63702,0.0301,7.84297,0.85929,0.97959,0.95301,0.52913,0.95086,0.91837,0.97504,0.95198,1.50346,0.14709,0.19323,0.46034,0.0333,0,0.0006964,0.0006964,0.0006964
48,144.194,1.44276,0.34866,0.45671,0.66907,0.03118,8.50921,0.87214,0.97454,0.95896,0.5414,0.9581,0.9335,0.9738,0.94553,1.47191,0.14443,0.21305,0.4544,0.03286,0,0.0006898,0.0006898,0.0006898
49,147.111,1.3846,0.28067,0.43725,0.56516,0.02956,7.74572,0.91986,0.93704,0.95783,0.55514,0.91986,0.93704,0.96231,0.93545,1.38109,0.14392,0.21534,0.43487,0.02859,0,0.0006832,0.0006832,0.0006832
50,150.022,1.39112,0.13546,0.46517,0.57789,0.02965,7.10794,0.8871,0.91837,0.94583,0.52753,0.87126,0.95918,0.9558,0.92903,1.37884,0.1414,0.18601,0.46106,0.02772,0,0.0006766,0.0006766,0.0006766
51,152.937,1.38521,0.15901,0.45245,0.55086,0.02832,6.94496,0.8694,0.9511,0.94741,0.51178,0.8843,0.95918,0.95198,0.92869,1.43592,0.13569,0.17541,0.46575,0.0292,0,0.00067,0.00067,0.00067
