epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,66.3774,0.88015,0.67048,1.13667,0.94067,0.98485,0.98388,0.75343,0.92258,0.56573,1.07619,0.000637,0.000637,0.000637
57,67.5059,0.93127,0.68594,1.1529,0.94184,0.98157,0.98676,0.76978,0.83558,0.57279,1.04448,0.0006304,0.0006304,0.0006304
58,68.6527,0.88762,0.67021,1.14586,0.94197,0.98384,0.98481,0.7834,0.79809,0.57564,1.02514,0.0006238,0.0006238,0.0006238
59,69.802,0.87354,0.67206,1.11877,0.92955,1,0.98635,0.81407,0.73257,0.56968,1.0144,0.0006172,0.0006172,0.0006172
60,70.9237,0.89465,0.693,1.15518,0.95039,0.9697,0.98582,0.80603,0.78263,0.58019,1.04912,0.0006106,0.0006106,0.0006106
61,72.0555,0.90029,0.72488,1.13347,0.95545,0.98485,0.98802,0.76059,0.89413,0.55477,1.08224,0.000604,0.000604,0.000604
62,73.1869,0.87042,0.64161,1.1012,0.93538,0.98485,0.98647,0.75427,0.91091,0.56287,1.06488,0.0005974,0.0005974,0.0005974
63,74.3099,0.88909,0.66197,1.14205,0.96919,0.95337,0.98803,0.7477,0.89027,0.56061,1.05868,0.0005908,0.0005908,0.0005908
64,75.4324,0.82498,0.64388,1.10162,0.92658,0.98485,0.98812,0.77584,0.8355,0.56903,1.0565,0.0005842,0.0005842,0.0005842
65,76.5641,0.86245,0.65141,1.12251,0.92564,0.98485,0.98564,0.82255,0.70732,0.56722,1.01754,0.0005776,0.0005776,0.0005776
66,77.6996,0.83256,0.64081,1.10824,0.93999,0.9697,0.98355,0.81964,0.69313,0.5619,0.98949,0.000571,0.000571,0.000571
67,78.8272,0.82525,0.63699,1.1056,0.92852,0.98405,0.98283,0.79679,0.71248,0.55756,0.99393,0.0005644,0.0005644,0.0005644
68,79.9529,0.89477,0.63807,1.13391,0.96863,0.93585,0.98017,0.77879,0.77107,0.57093,1.02619,0.0005578,0.0005578,0.0005578
69,81.0958,0.86411,0.65612,1.10696,0.96916,0.95231,0.97662,0.72751,0.92736,0.57731,1.08663,0.0005512,0.0005512,0.0005512
70,82.2411,0.80808,0.59557,1.10837,0.95222,0.95455,0.96477,0.70054,0.99771,0.61505,1.108,0.0005446,0.0005446,0.0005446
71,83.3797,0.84802,0.62294,1.12434,0.96567,0.93939,0.96333,0.7496,0.83177,0.61358,1.05215,0.000538,0.000538,0.000538
