epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,172.733,0.45467,0.68441,0.46097,0.98535,0,0.95166,0.96094,0.9893,0.90851,0.95166,0.96094,0.9893,0.89518,0.42673,0.69013,0.38269,0.99935,0,0.0007426,0.0007426,0.0007426
41,177.074,0.49634,0.7221,0.45751,1.02862,0,0.95266,0.94531,0.98844,0.90766,0.95266,0.94531,0.98844,0.88583,0.40361,0.6914,0.38549,0.98978,0,0.000736,0.000736,0.000736
42,181.428,0.45915,0.66281,0.43823,0.98467,0,0.96279,0.92969,0.98597,0.90088,0.96279,0.92969,0.98556,0.87814,0.40191,0.69364,0.38889,0.98229,0,0.0007294,0.0007294,0.0007294
43,185.659,0.47106,0.71559,0.44082,0.98294,0,0.95313,0.97656,0.99076,0.924,0.95313,0.97656,0.99076,0.88794,0.38385,0.69257,0.35911,0.95496,0,0.0007228,0.0007228,0.0007228
44,189.961,0.45805,0.70157,0.46021,0.99658,0,0.94621,0.96205,0.988,0.92417,0.94621,0.96205,0.988,0.89673,0.37186,0.67905,0.35209,0.96038,0,0.0007162,0.0007162,0.0007162
45,194.122,0.4323,0.68504,0.41838,0.97993,0,0.94498,0.97656,0.98809,0.91678,0.94498,0.97656,0.98809,0.88485,0.38948,0.71647,0.35819,0.9778,0,0.0007096,0.0007096,0.0007096
46,198.252,0.4153,0.60165,0.3807,0.97565,0,0.94591,0.95641,0.98625,0.91557,0.94591,0.95641,0.98625,0.8914,0.37834,0.65144,0.35762,0.97272,0,0.000703,0.000703,0.000703
47,202.577,0.44552,0.68988,0.41843,0.98663,0,0.95851,0.98438,0.98927,0.93031,0.95851,0.98438,0.98927,0.90313,0.3605,0.62875,0.33187,0.94562,0,0.0006964,0.0006964,0.0006964
48,206.93,0.41953,0.65036,0.41183,0.97688,0,0.96123,0.98438,0.98419,0.92437,0.96123,0.98438,0.98419,0.89234,0.35281,0.62284,0.34226,0.95249,0,0.0006898,0.0006898,0.0006898
49,211.179,0.4234,0.64283,0.38405,0.96755,0,0.96164,0.97933,0.98869,0.92908,0.96164,0.97933,0.98869,0.9029,0.36659,0.60942,0.33289,0.96478,0,0.0006832,0.0006832,0.0006832
50,215.74,0.40611,0.62228,0.36567,0.96279,0,0.96927,0.96875,0.98944,0.91711,0.96927,0.96875,0.98941,0.90768,0.38223,0.62432,0.31883,0.97581,0,0.0006766,0.0006766,0.0006766
51,220.431,0.4009,0.66999,0.36393,0.95559,0,0.97334,0.96875,0.98677,0.91208,0.97334,0.96875,0.986,0.89185,0.39057,0.67069,0.34612,0.96254,0,0.00067,0.00067,0.00067
52,224.676,0.38614,0.63055,0.36651,0.95201,0,0.96896,0.97548,0.98599,0.91338,0.96896,0.97548,0.98599,0.89156,0.39591,0.66087,0.33148,0.96777,0,0.0006634,0.0006634,0.0006634
53,229.305,0.40572,0.65006,0.36647,0.94986,0,0.97921,0.94531,0.98891,0.91637,0.97921,0.94531,0.98891,0.88069,0.37324,0.74018,0.33515,0.96688,0,0.0006568,0.0006568,0.0006568
54,233.746,0.39099,0.61191,0.36338,0.9355,0,0.96062,0.95312,0.98615,0.92099,0.96062,0.95312,0.98615,0.89032,0.37489,0.62953,0.34626,0.96614,0,0.0006502,0.0006502,0.0006502
55,237.871,0.39913,0.63504,0.37195,0.94934,0,0.98374,0.94524,0.98498,0.90994,0.98374,0.94524,0.98498,0.89276,0.38056,0.63211,0.34022,0.96871,0,0.0006436,0.0006436,0.0006436
56,242.105,0.42169,0.68459,0.38872,0.9583,0,0.95531,0.96094,0.98694,0.92862,0.95531,0.96094,0.98694,0.90113,0.34402,0.61305,0.32608,0.94603,0,0.000637,0.000637,0.000637
57,246.277,0.4315,0.69634,0.3914,0.96461,0,0.95348,0.96081,0.98823,0.91449,0.95348,0.96081,0.98823,0.90262,0.37044,0.61012,0.32827,0.95596,0,0.0006304,0.0006304,0.0006304
58,250.503,0.39281,0.63574,0.36393,0.95395,0,0.95772,0.97656,0.98398,0.92579,0.95772,0.97656,0.98398,0.8822,0.34268,0.68913,0.32559,0.92951,0,0.0006238,0.0006238,0.0006238
59,254.861,0.39401,0.63571,0.36126,0.94682,0,0.9685,0.98438,0.98088,0.92841,0.9685,0.98438,0.98088,0.89973,0.34805,0.63759,0.30181,0.92541,0,0.0006172,0.0006172,0.0006172
60,259.217,0.3921,0.66355,0.37684,0.956,0,0.96041,0.98438,0.99033,0.92955,0.96041,0.98438,0.99033,0.9042,0.33332,0.61073,0.30379,0.93199,0,0.0006106,0.0006106,0.0006106
