epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,201.567,0.39751,0.5893,0.34775,0.86975,0,0.9263,0.96685,0.97518,0.89328,0.9263,0.96685,0.97518,0.87387,0.41656,0.73521,0.37968,0.86941,0,0.0005512,0.0005512,0.0005512
70,204.623,0.41396,0.61545,0.37849,0.87678,0,0.93183,0.97802,0.97274,0.89613,0.93183,0.97802,0.97274,0.87732,0.41951,0.74606,0.36233,0.89368,0,0.0005446,0.0005446,0.0005446
71,207.638,0.40043,0.59304,0.36827,0.87449,0,0.94795,0.95604,0.97073,0.89482,0.94795,0.95604,0.97073,0.86472,0.40091,0.78578,0.35132,0.87499,0,0.000538,0.000538,0.000538
72,210.678,0.36387,0.57126,0.33259,0.85819,0,0.94616,0.96567,0.97233,0.89972,0.94616,0.96567,0.97233,0.866,0.38362,0.71026,0.3495,0.86631,0,0.0005314,0.0005314,0.0005314
73,213.689,0.39934,0.60706,0.36516,0.86875,0,0.94535,0.96703,0.9776,0.89199,0.94535,0.96703,0.9776,0.85906,0.43028,0.73759,0.33004,0.88235,0,0.0005248,0.0005248,0.0005248
74,216.705,0.35616,0.55799,0.31027,0.84531,0,0.94374,0.96703,0.98117,0.90438,0.94374,0.96703,0.98117,0.88275,0.41621,0.71431,0.31623,0.87242,0,0.0005182,0.0005182,0.0005182
75,219.752,0.36136,0.53056,0.3032,0.8532,0,0.94538,0.96703,0.98071,0.90346,0.94538,0.96703,0.98071,0.87718,0.40474,0.7051,0.31409,0.86837,0,0.0005116,0.0005116,0.0005116
76,222.821,0.36023,0.52913,0.32853,0.85341,0,0.9529,0.96703,0.97959,0.90621,0.9529,0.96703,0.97959,0.8654,0.3946,0.77041,0.32693,0.87852,0,0.000505,0.000505,0.000505
77,225.91,0.35744,0.55408,0.3418,0.86078,0,0.9565,0.96647,0.97464,0.89454,0.9565,0.96647,0.97464,0.87061,0.40789,0.78997,0.3612,0.89049,0,0.0004984,0.0004984,0.0004984
78,228.929,0.38921,0.5741,0.34359,0.86436,0,0.95642,0.96462,0.97395,0.89751,0.95642,0.96462,0.97395,0.86938,0.39358,0.75328,0.34992,0.89527,0,0.0004918,0.0004918,0.0004918
79,231.935,0.36998,0.54309,0.32063,0.85254,0,0.95645,0.96533,0.97653,0.89231,0.95645,0.96533,0.97653,0.87216,0.41294,0.78085,0.33105,0.91155,0,0.0004852,0.0004852,0.0004852
80,234.967,0.3667,0.53851,0.33558,0.85616,0,0.95506,0.95604,0.9674,0.882,0.95506,0.95604,0.9674,0.87147,0.42939,0.76398,0.35165,0.88552,0,0.0004786,0.0004786,0.0004786
81,237.993,0.34177,0.53039,0.29877,0.84784,0,0.95502,0.94505,0.97346,0.89892,0.95502,0.94505,0.97346,0.87273,0.39897,0.75343,0.3524,0.87235,0,0.000472,0.000472,0.000472
82,241.005,0.35781,0.53199,0.33464,0.85167,0,0.9444,0.96703,0.9795,0.89556,0.9444,0.96703,0.9795,0.87058,0.40434,0.76438,0.33609,0.87057,0,0.0004654,0.0004654,0.0004654
83,244.028,0.37128,0.61741,0.3354,0.85939,0,0.94539,0.96703,0.98126,0.89469,0.94539,0.96703,0.98126,0.87357,0.40673,0.77518,0.31877,0.87961,0,0.0004588,0.0004588,0.0004588
84,247.119,0.35103,0.51361,0.31543,0.83882,0,0.98834,0.93132,0.98113,0.90426,0.98834,0.93132,0.98113,0.87386,0.39498,0.79321,0.30524,0.87955,0,0.0004522,0.0004522,0.0004522
85,250.143,0.35087,0.52743,0.31044,0.83752,0,0.94284,0.96703,0.97624,0.90688,0.94284,0.96703,0.97624,0.8799,0.3973,0.71439,0.34147,0.85921,0,0.0004456,0.0004456,0.0004456
86,253.164,0.35299,0.53562,0.31458,0.84725,0,0.94664,0.9747,0.9774,0.91308,0.94664,0.9747,0.9774,0.89116,0.38184,0.71183,0.32323,0.86331,0,0.000439,0.000439,0.000439
87,256.211,0.34401,0.53172,0.32722,0.84428,0,0.94618,0.96605,0.97948,0.90358,0.94618,0.96605,0.97948,0.88298,0.38628,0.72353,0.32952,0.85931,0,0.0004324,0.0004324,0.0004324
88,259.218,0.34773,0.5422,0.31562,0.84507,0,0.97871,0.93407,0.97734,0.89619,0.97871,0.93407,0.97734,0.87727,0.39772,0.74344,0.32106,0.86147,0,0.0004258,0.0004258,0.0004258
89,262.299,0.34173,0.53852,0.30075,0.85904,0,0.97621,0.93407,0.97581,0.90119,0.97621,0.93407,0.97581,0.86949,0.39408,0.74491,0.33853,0.88709,0,0.0004192,0.0004192,0.0004192
90,265.386,0.34008,0.52928,0.31746,0.84691,0,0.96543,0.93407,0.9719,0.89233,0.96543,0.93407,0.9719,0.87142,0.4026,0.75018,0.3688,0.88828,0,0.0004126,0.0004126,0.0004126
91,268.424,0.33944,0.54125,0.30536,0.84452,0,0.96694,0.96428,0.97034,0.89882,0.96694,0.96428,0.97034,0.87046,0.37874,0.72257,0.34046,0.8752,0,0.000406,0.000406,0.000406
92,271.464,0.35358,0.51935,0.31611,0.85669,0,0.94608,0.96402,0.97009,0.8899,0.94608,0.96402,0.97112,0.87826,0.38665,0.69573,0.3421,0.87658,0,0.0003994,0.0003994,0.0003994
93,274.544,0.32977,0.47885,0.30238,0.83337,0,0.97444,0.93407,0.97091,0.89707,0.97444,0.93407,0.97091,0.88355,0.37719,0.68088,0.34897,0.85269,0,0.0003928,0.0003928,0.0003928
94,277.62,0.33526,0.48939,0.30787,0.84252,0,0.97441,0.93407,0.97001,0.89457,0.97441,0.93407,0.97001,0.87639,0.36874,0.69722,0.33618,0.85714,0,0.0003862,0.0003862,0.0003862
95,280.697,0.33774,0.52336,0.31846,0.83996,0,0.97722,0.943,0.97452,0.89873,0.97722,0.943,0.97452,0.87795,0.37219,0.71388,0.33482,0.86425,0,0.0003796,0.0003796,0.0003796
96,283.702,0.32676,0.49225,0.2966,0.83574,0,0.9775,0.94505,0.97497,0.90116,0.9775,0.94505,0.97497,0.88676,0.38647,0.69509,0.33398,0.86053,0,0.000373,0.000373,0.000373
97,286.728,0.33031,0.49914,0.3011,0.84045,0,0.98589,0.95604,0.98029,0.90725,0.98589,0.95604,0.98029,0.88658,0.37382,0.71655,0.29431,0.85834,0,0.0003664,0.0003664,0.0003664
98,289.766,0.3276,0.49751,0.28313,0.83855,0,0.98725,0.96703,0.98171,0.90474,0.98725,0.96703,0.98171,0.89095,0.3945,0.70482,0.29837,0.87362,0,0.0003598,0.0003598,0.0003598
99,292.817,0.33363,0.51014,0.29758,0.85205,0,0.98581,0.96703,0.98322,0.90891,0.98581,0.96703,0.98322,0.88932,0.38428,0.72328,0.29725,0.87595,0,0.0003532,0.0003532,0.0003532
